source,target
ZZO6-上海瞻锦国际商贸有限公司,上海联家超市有限公司徐汇店
ZZO6-上海瞻锦国际商贸有限公司,上海联家超市有限公司中山公园店
ZZO6-上海瞻锦国际商贸有限公司,上海联家超市有限公司武宁店
ZZO6-上海瞻锦国际商贸有限公司,上海联家超市有限公司莘庄店
ZZO6-上海瞻锦国际商贸有限公司,上海联家超市有限公司曹路店
ZZO6-上海瞻锦国际商贸有限公司,上海联家超市有限公司联洋店
ZZOC-上海弘阳农业有限公司,上海联家超市有限公司南翔店
ZZOC-上海弘阳农业有限公司,上海联家超市有限公司万里店
ZZOC-上海弘阳农业有限公司,上海联家超市有限公司武宁店
ZZOC-上海弘阳农业有限公司,上海联家超市有限公司联洋店
阿川食品经营部,上海浦众农贸市场经营管理有限公司
阿勇商行,上海外冈新苑农贸综合市场经营管理有限公司
艾狄士食品（上海）有限公司,上海凯文咖啡屋
艾狄士食品（上海）有限公司,上海施袒德餐饮管理有限公司
艾狄士食品（上海）有限公司,上海鸿艺房地产(猫头鹰淮海中路)
艾狄士食品（上海）有限公司,棉花酒吧（上海丁氏茶餐厅））
艾狄士食品（上海）有限公司,上海申江资产经营公司(英迪格)
艾狄士食品（上海）有限公司,南京街角西餐厅
艾狄士食品（上海）有限公司,苏州尼盛万丽酒店
艾狄士食品（上海）有限公司,南京蓝澳西餐厅
艾狄士食品（上海）有限公司,好好餐饮
艾狄士食品（上海）有限公司,上海莱娅食品有限公司(莱姆香草)
艾狄士食品（上海）有限公司,南宁七月餐厅酒吧15601818320
艾狄士食品（上海）有限公司,成都太古博舍酒店
艾狄士食品（上海）有限公司,上海斯格威大酒店有限公司
艾狄士食品（上海）有限公司,温州艾卡夫咖啡馆
艾狄士食品（上海）有限公司,苏州欧福贸易有限公司
艾狄士食品（上海）有限公司,帕尼尼
艾狄士食品（上海）有限公司,海南海控置业有限公司希尔顿酒店
艾狄士食品（上海）有限公司,昆山沙漠天堂餐厅
艾狄士食品（上海）有限公司,金堡餐饮(上海)公司闵行分公司
艾狄士食品（上海）有限公司,上海外滩三号7F
艾狄士食品（上海）有限公司,上海龙又橙咖啡企业管理有限公司
艾狄士食品（上海）有限公司,上海义耀贸易有限公司
艾狄士食品（上海）有限公司,上海左味餐饮有限公司
