label,x,y
上海逸骅集贸市场经营管理服务部,121.4903925,31.32596849
华师大,121.4132184,31.23422289
南通滋客休闲食品,120.873801,32.01466454
厦门市同安聪聪妇幼店,118.114685,24.78170473
广陵区双旺食品贸易商行,119.4866778,32.3956701
中山副食品批发,119.9636362,31.807235
星华公路-好又多（郑怀英）（加盟）,121.2821789,31.24924461
上海禧沁贸易有限公司,121.439377,31.31042309
乓乓响农副产品有限公司,119.1167008,33.58680733
青岛万福集团,120.5090662,36.88251223
东方既白（上海）餐饮管理有限公司世纪大道店,121.5088313,31.24432338
汉宫酒家（同盛店）H,121.4622057,31.23418215
佳诚冻品,114.1905645,22.28096278
上海浦东新区三林镇吕贤宏副食品经营部,121.5092577,31.15046766
上海必胜客有限公司田林餐厅,105.9998272,24.39253848
崇明新民店(华联供销),121.5353975,31.63356493
上海意御贸易有限公司,121.4878995,31.24916171
民和食品,120.7880536,37.81566171
上海新尚实国际贸易有限公司,121.5104197,31.21709339
长沙皇冠假日酒店,112.9824385,28.20156798
卫辉市世魁清真肉制品有限责任公司,114.0759412,35.42199122
加拿大海鲜渔业有限公司,113.283169,23.07856994
老北站28号,121.4803184,31.2598925
上海中学,111.3115906,30.77352044
丸启水产品（上海）有限公司,121.4529859,31.21787171
上海竟翰食品贸易有限公司,121.4878995,31.24916171
上海极利餐饮有限公司,121.4878995,31.24916171
上海青浦区行知民办小学,121.0914252,31.1308624
武汉易食铁路餐饮服务有限公司西安分公司,114.3162001,30.58108413
南华换热器,101.0380122,25.10352267
（长乐店）上海新旺餐饮管理有限公司长乐店,119.5627198,25.91553844
浙江古越龙山绍兴酒股份有限公司,120.5814868,30.01771968
上海城隍庙南北商店,121.4990654,31.2316683
上海创隆国际贸易有限公司,121.4079891,31.17743556
雨润,111.5565294,32.54239396
上海皋奶贸易有限公司,121.4878995,31.24916171
上海市浦东新区蒲兴璐街道加富农产品商店,121.6384813,31.23089535
金方餐饮,103.2471965,23.72252915
金利油脂（苏州）有限公司,120.6199071,31.31798737
长宁豆制品厂有限公司,121.4315374,31.23228847
上海恩臻食品贸易有限公司,121.4878995,31.24916171
佳鑫副食品批发部,104.0718711,29.65945832
潘群香（世纪联华莘庄店）,121.3820098,31.11267114
高跃菜场汉康,109.4584474,26.13362073
上海好菜集企业管理有限公司南翔店,121.3280978,31.30134756
泗洪大润发,118.3125513,33.42595527
上海安鲜超市<申惠>曹杨路店（月结）,121.4200691,31.24658181
太原市博鑫宇贸易有限公司,112.5508636,37.89027705
上海少轩贸易发展有限公司,121.4878995,31.24916171
